 0.10 -0.10 0.11 -0.12 0.14 -0.16 0.18 -0.22 0.28 -0.30 0.43 -0.63 0.96 -1.39 2.00 13.56 3.37 7.60 5.36 6.03 2.08 0.81 0.22 -0.56 -0.62 -0.84 -0.58 -1.10 -0.21 -0.21 -0.79 -0.77 -0.23 0.75 1.09 0.56 -0.27 -0.24 -1.44 3.64 5.03 7.31 2.09 -1.93 1.23 5.65 1.27 -1.62 1.41 -1.04 1.74 14.14 1.53 -0.42 0.20 -0.11 0.09 -0.08 0.08 -0.08 0.08 -0.08 0.09 -0.09
 0.05 -0.05 0.05 -0.06 0.06 -0.06 0.06 -0.05 0.03 -0.07 -0.00 0.13 -0.39 0.74 14.91 2.03 3.85 8.34 3.62 4.69 -0.98 -0.49 -0.37 0.63 0.32 0.90 0.26 1.09 -0.05 0.32 0.47 0.82 -0.01 -0.46 -1.08 -0.17 0.01 0.27 0.57 -1.71 -1.13 3.22 10.39 2.26 -1.83 1.88 4.74 0.23 -0.35 0.08 -0.00 4.99 9.77 1.06 -0.29 0.09 -0.03 0.01 0.01 -0.02 0.03 -0.03 0.04 -0.04
 -0.05 0.05 -0.05 0.05 -0.05 0.05 -0.05 0.04 -0.01 0.06 0.05 -0.29 1.40 11.52 4.31 1.08 11.77 0.19 4.46 0.44 -0.14 0.89 -0.01 -0.29 -0.45 -0.65 -0.29 -0.86 0.02 -0.24 -0.40 -0.73 0.06 0.35 0.99 -0.00 0.12 -0.32 -0.15 0.95 1.28 -1.87 1.91 9.93 1.73 -1.39 3.72 3.25 -1.12 1.18 -1.66 4.31 4.33 7.67 -0.12 0.06 -0.05 0.04 -0.04 0.05 -0.05 0.05 -0.05 0.05
 0.10 -0.04 -0.03 0.09 -0.16 0.24 -0.34 0.47 -0.64 0.81 -1.35 2.99 7.36 4.93 1.68 11.29 1.21 1.80 4.64 -1.51 1.04 -1.48 0.61 -0.26 0.82 0.20 0.55 0.49 0.17 0.03 0.48 0.55 -0.00 -0.33 -0.88 0.08 -0.20 0.38 -0.11 -0.51 -1.38 1.71 -1.68 3.26 8.30 1.80 -1.55 6.19 -0.00 0.38 -0.64 1.19 5.02 3.09 6.97 -2.15 1.30 -0.91 0.68 -0.53 0.41 -0.32 0.24 -0.17
 0.07 -0.12 0.18 -0.24 0.31 -0.39 0.49 -0.63 0.85 -1.06 1.99 7.11 1.91 4.22 8.39 5.69 -1.68 6.33 -1.41 0.75 -0.69 1.19 -0.50 0.25 -0.76 -0.12 -0.55 -0.34 -0.24 0.09 -0.55 -0.34 -0.15 0.47 0.58 0.13 -0.07 -0.03 -0.19 0.78 0.74 -0.79 0.46 -0.67 3.40 6.40 1.81 0.23 5.58 -1.97 1.64 -1.93 6.63 0.18 6.85 2.56 -1.12 0.67 -0.44 0.30 -0.20 0.12 -0.05 -0.01
 -0.31 0.25 -0.20 0.15 -0.09 0.03 0.04 -0.13 0.27 -0.87 8.52 0.34 3.01 7.83 8.86 -1.71 3.02 2.73 -0.47 0.50 -0.26 -0.34 -0.13 0.25 0.29 0.42 0.24 0.49 0.08 -0.01 0.46 0.28 0.21 -0.55 -0.33 -0.35 0.37 -0.36 0.60 -1.21 0.01 -0.17 0.70 -0.94 2.54 1.99 5.39 1.16 3.93 1.18 0.12 -1.10 3.60 3.56 0.48 8.10 -2.03 1.30 -0.97 0.77 -0.63 0.52 -0.44 0.37
 -0.21 0.26 -0.31 0.38 -0.46 0.57 -0.74 1.04 -1.69 5.92 3.80 -0.94 6.28 10.87 1.65 -1.44 5.61 -0.32 0.07 -0.36 0.26 0.23 0.22 -0.35 -0.12 -0.52 -0.06 -0.61 0.11 -0.18 -0.20 -0.47 0.05 0.24 0.57 0.01 -0.01 -0.03 -0.13 0.63 0.48 -0.38 0.02 -0.03 -0.72 4.14 1.20 4.08 2.63 3.68 -0.71 0.39 0.21 6.75 -2.32 7.44 1.69 -0.52 0.22 -0.07 -0.01 0.07 -0.12 0.16
 0.45 -0.41 0.38 -0.36 0.34 -0.33 0.32 -0.32 0.29 0.89 0.20 0.35 10.96 5.29 -2.31 3.15 2.74 -0.53 0.44 -0.05 0.05 -0.42 -0.03 0.18 0.21 0.40 0.08 0.55 -0.13 0.21 0.10 0.54 -0.19 -0.04 -0.72 0.25 -0.28 0.36 -0.28 -0.11 -0.96 0.97 -0.81 1.09 -1.03 1.59 3.07 0.66 4.86 4.08 0.68 -0.16 -0.39 5.89 -0.27 2.47 6.50 -1.93 1.22 -0.92 0.75 -0.64 0.56 -0.49
 -0.17 0.20 -0.24 0.28 -0.33 0.40 -0.48 0.60 -0.76 0.69 -1.59 5.54 13.38 -0.90 0.24 3.09 1.98 -0.96 0.49 -0.60 0.45 -0.03 0.36 -0.44 0.04 -0.54 0.07 -0.61 0.21 -0.25 -0.05 -0.49 0.15 0.08 0.57 -0.12 0.12 -0.16 0.06 0.32 0.59 -0.55 0.34 -0.53 0.37 -0.48 3.92 0.72 1.08 7.75 0.71 0.80 -1.41 5.04 2.14 -0.76 7.60 -0.09 0.05 0.00 -0.04 0.08 -0.11 0.14
 -0.20 0.22 -0.25 0.28 -0.33 0.38 -0.46 0.58 -0.78 1.36 -2.17 11.86 7.48 -2.45 1.83 3.65 -0.12 -0.23 0.42 -0.19 0.22 -0.52 0.15 -0.02 0.34 0.14 0.24 0.28 0.06 -0.00 0.24 0.26 0.02 -0.21 -0.39 0.00 -0.01 0.07 0.03 -0.36 -0.46 0.40 -0.18 0.29 -0.00 -0.34 1.06 4.37 -2.44 6.01 5.26 -0.80 -0.10 2.34 4.90 -2.85 6.66 2.24 -0.70 0.37 -0.26 0.21 -0.20 0.19
 -0.03 -0.00 0.03 -0.07 0.10 -0.14 0.18 -0.25 0.36 -0.75 1.65 13.29 1.14 -0.83 2.56 2.68 -0.73 0.57 -0.59 0.31 -0.30 0.54 -0.20 0.06 -0.34 -0.07 -0.27 -0.21 -0.10 0.05 -0.26 -0.18 -0.07 0.24 0.29 0.06 -0.06 0.01 -0.11 0.40 0.32 -0.26 0.05 -0.15 -0.08 0.29 -0.28 3.89 0.26 0.36 8.93 0.09 -0.26 1.19 5.68 -2.42 4.25 4.68 -1.12 0.55 -0.33 0.21 -0.13 0.08
 0.09 -0.15 0.22 -0.29 0.38 -0.48 0.63 -0.85 1.23 -2.01 7.84 10.93 -1.03 0.30 3.02 1.90 -1.20 0.76 -0.46 0.52 -0.41 0.11 -0.34 0.40 -0.10 0.41 -0.07 0.47 -0.16 0.18 0.03 0.33 -0.08 -0.10 -0.36 0.02 -0.00 0.03 0.08 -0.36 -0.27 0.21 -0.01 0.10 0.06 -0.15 -0.21 2.20 3.18 -2.86 7.54 3.88 -1.31 1.05 5.39 -1.02 1.71 6.17 -0.94 0.45 -0.25 0.13 -0.04 -0.03
 -0.07 0.05 -0.03 0.01 0.01 -0.04 0.06 -0.10 0.13 -0.11 10.14 6.54 -1.16 0.80 3.84 -0.13 0.10 0.07 -0.20 0.05 -0.08 0.29 -0.03 -0.08 -0.16 -0.14 -0.13 -0.27 0.01 -0.05 -0.11 -0.23 0.03 0.10 0.32 -0.05 0.04 -0.11 0.01 0.21 0.37 -0.34 0.17 -0.25 0.10 0.05 -0.02 0.35 4.37 -1.66 2.95 7.49 -1.05 0.37 5.15 0.49 -0.22 6.92 -0.33 0.23 -0.18 0.14 -0.11 0.09
 0.00 0.01 -0.02 0.04 -0.05 0.08 -0.12 0.22 -0.53 3.29 9.38 4.65 -1.37 1.90 3.13 -0.47 0.14 -0.18 0.26 -0.10 0.11 -0.29 0.05 0.05 0.16 0.09 0.15 0.22 0.03 0.01 0.13 0.16 0.02 -0.14 -0.23 -0.02 0.03 0.03 0.07 -0.28 -0.23 0.20 -0.03 0.09 0.05 -0.19 0.16 -0.22 3.60 0.53 -0.16 7.51 1.66 -0.97 5.10 1.17 -0.96 6.64 0.59 -0.23 0.12 -0.07 0.04 -0.02
 0.11 -0.11 0.11 -0.12 0.14 -0.17 0.21 -0.28 0.42 4.99 7.46 4.18 -2.09 3.44 2.04 -0.64 0.40 -0.17 -0.01 -0.07 0.04 0.14 0.06 -0.15 -0.05 -0.15 -0.07 -0.27 0.04 -0.07 -0.04 -0.21 0.05 0.05 0.28 -0.06 0.06 -0.13 0.03 0.14 0.33 -0.33 0.19 -0.27 0.21 -0.18 0.39 -0.82 2.73 2.31 -1.12 5.74 3.93 -1.22 4.45 2.21 -1.69 6.53 1.26 -0.46 0.26 -0.18 0.14 -0.12
 0.27 -0.29 0.33 -0.38 0.45 -0.57 0.78 -1.22 2.89 4.59 6.80 3.33 -1.90 4.33 0.58 0.11 -0.24 0.15 -0.03 0.11 -0.10 -0.06 -0.11 0.20 -0.01 0.16 0.03 0.27 -0.05 0.07 0.03 0.17 -0.02 -0.07 -0.21 0.01 0.01 0.05 0.08 -0.23 -0.16 0.15 0.01 0.01 0.09 -0.20 0.17 -0.13 0.38 0.58 -0.15 3.25 5.37 -0.56 3.84 2.99 -2.02 6.18 1.62 -0.61 0.39 -0.30 0.27 -0.26
 0.17 -0.19 0.23 -0.27 0.34 -0.45 0.66 -1.18 4.97 2.73 7.28 2.09 -1.21 4.49 0.06 -0.00 0.01 0.09 -0.20 0.11 -0.10 0.22 -0.05 -0.05 -0.10 -0.02 -0.13 -0.17 -0.02 -0.01 -0.05 -0.12 0.01 0.05 0.19 -0.04 0.03 -0.12 -0.01 0.11 0.24 -0.26 0.14 -0.16 0.12 -0.05 0.12 -0.23 0.22 -0.40 0.14 2.38 4.73 1.10 2.75 3.77 -2.32 6.44 1.38 -0.45 0.25 -0.18 0.16 -0.16
 0.05 -0.04 0.03 -0.03 0.03 -0.04 0.04 -0.07 5.82 1.10 8.18 0.64 0.11 3.93 -0.28 0.25 -0.23 0.11 0.01 0.04 -0.03 -0.08 -0.05 0.15 0.00 0.06 0.07 0.20 -0.02 0.03 0.01 0.11 -0.00 -0.04 -0.15 0.01 0.01 0.08 0.07 -0.16 -0.14 0.16 -0.02 0.02 0.02 -0.10 0.06 0.04 -0.05 0.15 -0.22 2.38 3.51 2.33 2.60 4.05 -2.32 6.35 1.41 -0.43 0.21 -0.12 0.08 -0.06
 -0.10 0.14 -0.19 0.25 -0.35 0.50 -0.81 1.89 5.19 0.30 8.57 -0.16 0.97 3.50 -0.24 -0.06 0.14 -0.08 -0.02 -0.03 0.05 0.04 0.07 -0.17 0.03 -0.05 -0.05 -0.19 0.02 -0.04 0.02 -0.09 0.01 0.02 0.13 -0.00 -0.02 -0.08 -0.08 0.15 0.09 -0.12 -0.01 0.04 -0.07 0.15 -0.14 0.08 -0.12 0.20 -0.60 2.85 2.30 3.02 2.92 3.83 -2.01 6.33 1.10 -0.32 0.12 -0.03 -0.02 0.06
 -0.14 0.19 -0.25 0.34 -0.47 0.71 -1.24 3.75 3.71 0.49 8.27 -0.22 1.59 3.13 -0.44 0.24 -0.16 0.05 0.07 -0.04 0.03 -0.10 -0.01 0.11 -0.01 -0.01 0.08 0.16 -0.01 0.03 -0.04 0.09 -0.03 0.03 -0.15 0.07 -0.06 0.18 -0.02 -0.01 -0.20 0.27 -0.16 0.15 -0.17 0.14 -0.19 0.35 -0.45 0.60 -0.87 3.05 1.76 2.59 3.89 3.46 -1.38 6.42 0.61 -0.19 0.07 -0.00 -0.05 0.09
 -0.17 0.20 -0.25 0.33 -0.45 0.67 -1.23 5.26 1.96 1.08 7.38 0.14 1.72 2.99 -0.54 0.14 -0.01 0.01 -0.09 0.05 -0.01 0.06 0.02 -0.13 0.03 0.03 -0.08 -0.13 -0.01 -0.00 0.02 -0.02 -0.03 0.02 0.05 0.03 -0.05 -0.06 -0.13 0.14 -0.00 -0.05 -0.07 0.14 -0.14 0.21 -0.24 0.19 -0.24 0.40 -0.85 3.20 1.44 1.91 4.94 2.80 -0.57 6.35 -0.12 0.11 -0.10 0.11 -0.12 0.14
 -0.12 0.13 -0.14 0.17 -0.23 0.35 -0.70 6.00 0.61 1.87 6.43 1.01 1.76 3.01 -0.82 0.53 -0.40 0.27 -0.13 0.10 -0.12 0.07 -0.12 0.22 -0.14 0.02 -0.00 0.19 -0.06 0.08 -0.12 0.09 -0.06 0.09 -0.12 0.08 -0.06 0.19 -0.00 0.02 -0.14 0.22 -0.12 0.07 -0.12 0.10 -0.13 0.27 -0.40 0.53 -0.82 3.01 1.76 1.01 6.43 1.87 0.61 6.00 -0.70 0.35 -0.23 0.17 -0.14 0.13
 -0.17 0.14 -0.12 0.11 -0.10 0.11 -0.12 6.35 -0.57 2.80 4.94 1.91 1.44 3.20 -0.85 0.40 -0.24 0.19 -0.24 0.21 -0.14 0.14 -0.07 -0.05 -0.00 0.14 -0.13 -0.06 -0.05 0.03 0.05 0.02 -0.03 -0.02 0.02 -0.00 -0.01 -0.13 -0.08 0.03 0.03 -0.13 0.02 0.06 -0.01 0.05 -0.09 0.01 -0.01 0.14 -0.54 2.99 1.72 0.14 7.38 1.08 1.96 5.26 -1.23 0.67 -0.45 0.33 -0.25 0.20
 -0.14 0.09 -0.05 -0.00 0.07 -0.19 0.61 6.42 -1.38 3.46 3.89 2.59 1.76 3.05 -0.87 0.60 -0.45 0.35 -0.19 0.14 -0.17 0.15 -0.16 0.27 -0.20 -0.01 -0.02 0.18 -0.06 0.07 -0.15 0.03 -0.03 0.09 -0.04 0.03 -0.01 0.16 0.08 -0.01 -0.01 0.11 -0.01 -0.10 0.03 -0.04 0.07 0.05 -0.16 0.24 -0.44 3.13 1.59 -0.22 8.27 0.49 3.71 3.75 -1.24 0.71 -0.47 0.34 -0.25 0.19
 -0.10 0.06 -0.02 -0.03 0.12 -0.32 1.10 6.33 -2.01 3.83 2.92 3.02 2.30 2.85 -0.60 0.20 -0.12 0.08 -0.14 0.15 -0.07 0.04 -0.01 -0.12 0.09 0.15 -0.08 -0.08 -0.02 -0.00 0.13 0.02 0.01 -0.09 0.02 -0.04 0.02 -0.19 -0.05 -0.05 0.03 -0.17 0.07 0.04 0.05 -0.03 -0.02 -0.08 0.14 -0.06 -0.24 3.50 0.97 -0.16 8.57 0.30 5.19 1.89 -0.81 0.50 -0.35 0.25 -0.19 0.14
 0.05 -0.06 0.08 -0.12 0.21 -0.43 1.41 6.35 -2.32 4.05 2.60 2.33 3.51 2.38 -0.22 0.15 -0.05 0.04 0.06 -0.10 0.02 0.02 -0.02 0.16 -0.14 -0.16 0.07 0.08 0.01 0.01 -0.15 -0.04 -0.00 0.11 0.01 0.03 -0.02 0.20 0.07 0.06 0.00 0.15 -0.05 -0.08 -0.03 0.04 0.01 0.11 -0.23 0.25 -0.28 3.93 0.11 0.64 8.18 1.10 5.82 -0.07 0.04 -0.04 0.03 -0.03 0.03 -0.04
 0.17 -0.16 0.16 -0.18 0.25 -0.45 1.38 6.44 -2.32 3.77 2.75 1.10 4.73 2.38 0.14 -0.40 0.22 -0.23 0.12 -0.05 0.12 -0.16 0.14 -0.26 0.24 0.11 -0.01 -0.12 0.03 -0.04 0.19 0.05 0.01 -0.12 -0.05 -0.01 -0.02 -0.17 -0.13 -0.02 -0.10 -0.05 -0.05 0.22 -0.10 0.11 -0.20 0.09 0.01 -0.00 0.06 4.49 -1.21 2.09 7.28 2.73 4.97 -1.18 0.66 -0.45 0.34 -0.27 0.23 -0.19
 0.27 -0.26 0.27 -0.30 0.39 -0.61 1.62 6.18 -2.02 2.99 3.84 -0.56 5.37 3.25 -0.15 0.58 0.38 -0.13 0.17 -0.20 0.09 0.01 0.01 0.15 -0.16 -0.23 0.08 0.05 0.01 0.01 -0.21 -0.07 -0.02 0.17 0.03 0.07 -0.05 0.27 0.03 0.16 -0.01 0.20 -0.11 -0.06 -0.10 0.11 -0.03 0.15 -0.24 0.11 0.58 4.33 -1.90 3.33 6.80 4.59 2.89 -1.22 0.78 -0.57 0.45 -0.38 0.33 -0.29
 0.11 -0.12 0.14 -0.18 0.26 -0.46 1.26 6.53 -1.69 2.21 4.45 -1.22 3.93 5.74 -1.12 2.31 2.73 -0.82 0.39 -0.18 0.21 -0.27 0.19 -0.33 0.33 0.14 0.03 -0.13 0.06 -0.06 0.28 0.05 0.05 -0.21 -0.04 -0.07 0.04 -0.27 -0.07 -0.15 -0.05 -0.15 0.06 0.14 0.04 -0.07 -0.01 -0.17 0.40 -0.64 2.04 3.44 -2.09 4.18 7.46 4.99 0.42 -0.28 0.21 -0.17 0.14 -0.12 0.11 -0.11
 0.00 -0.02 0.04 -0.07 0.12 -0.23 0.59 6.64 -0.96 1.17 5.10 -0.97 1.66 7.51 -0.16 0.53 3.60 -0.22 0.16 -0.19 0.05 0.09 -0.03 0.20 -0.23 -0.28 0.07 0.03 0.03 -0.02 -0.23 -0.14 0.02 0.16 0.13 0.01 0.03 0.22 0.15 0.09 0.16 0.05 0.05 -0.29 0.11 -0.10 0.26 -0.18 0.14 -0.47 3.13 1.90 -1.37 4.65 9.38 3.29 -0.53 0.22 -0.12 0.08 -0.05 0.04 -0.02 0.01
 -0.07 0.09 -0.11 0.14 -0.18 0.23 -0.33 6.92 -0.22 0.49 5.15 0.37 -1.05 7.49 2.95 -1.66 4.37 0.35 -0.02 0.05 0.10 -0.25 0.17 -0.34 0.37 0.21 0.01 -0.11 0.04 -0.05 0.32 0.10 0.03 -0.23 -0.11 -0.05 0.01 -0.27 -0.13 -0.14 -0.16 -0.08 -0.03 0.29 -0.08 0.05 -0.20 0.07 0.10 -0.13 3.84 0.80 -1.16 6.54 10.14 -0.11 0.13 -0.10 0.06 -0.04 0.01 0.01 -0.03 0.05
 0.09 -0.03 -0.04 0.13 -0.25 0.45 -0.94 6.17 1.71 -1.02 5.39 1.05 -1.31 3.88 7.54 -2.86 3.18 2.20 -0.21 -0.15 0.06 0.10 -0.01 0.21 -0.27 -0.36 0.08 0.03 -0.00 0.02 -0.36 -0.10 -0.08 0.33 0.03 0.18 -0.16 0.47 -0.07 0.41 -0.10 0.40 -0.34 0.11 -0.41 0.52 -0.46 0.76 -1.20 1.90 3.02 0.30 -1.03 10.93 7.84 -2.01 1.23 -0.85 0.63 -0.48 0.38 -0.29 0.22 -0.15
 -0.03 0.08 -0.13 0.21 -0.33 0.55 -1.12 4.68 4.25 -2.42 5.68 1.19 -0.26 0.09 8.93 0.36 0.26 3.89 -0.28 0.29 -0.08 -0.15 0.05 -0.26 0.32 0.40 -0.11 0.01 -0.06 0.06 0.29 0.24 -0.07 -0.18 -0.26 0.05 -0.10 -0.21 -0.27 -0.07 -0.34 0.06 -0.20 0.54 -0.30 0.31 -0.59 0.57 -0.73 2.68 2.56 -0.83 1.14 13.29 1.65 -0.75 0.36 -0.25 0.18 -0.14 0.10 -0.07 0.03 -0.00
 -0.20 0.19 -0.20 0.21 -0.26 0.37 -0.70 2.24 6.66 -2.85 4.90 2.34 -0.10 -0.80 5.26 6.01 -2.44 4.37 1.06 -0.34 -0.00 0.29 -0.18 0.40 -0.46 -0.36 0.03 0.07 -0.01 0.00 -0.39 -0.21 0.02 0.26 0.24 -0.00 0.06 0.28 0.24 0.14 0.34 -0.02 0.15 -0.52 0.22 -0.19 0.42 -0.23 -0.12 3.65 1.83 -2.45 7.48 11.86 -2.17 1.36 -0.78 0.58 -0.46 0.38 -0.33 0.28 -0.25 0.22
 -0.17 0.14 -0.11 0.08 -0.04 0.00 0.05 -0.09 7.60 -0.76 2.14 5.04 -1.41 0.80 0.71 7.75 1.08 0.72 3.92 -0.48 0.37 -0.53 0.34 -0.55 0.59 0.32 0.06 -0.16 0.12 -0.12 0.57 0.08 0.15 -0.49 -0.05 -0.25 0.21 -0.61 0.07 -0.54 0.04 -0.44 0.36 -0.03 0.45 -0.60 0.49 -0.96 1.98 3.09 0.24 -0.90 13.38 5.54 -1.59 0.69 -0.76 0.60 -0.48 0.40 -0.33 0.28 -0.24 0.20
 0.45 -0.49 0.56 -0.64 0.75 -0.92 1.22 -1.93 6.50 2.47 -0.27 5.89 -0.39 -0.16 0.68 4.08 4.86 0.66 3.07 1.59 -1.03 1.09 -0.81 0.97 -0.96 -0.11 -0.28 0.36 -0.28 0.25 -0.72 -0.04 -0.19 0.54 0.10 0.21 -0.13 0.55 0.08 0.40 0.21 0.18 -0.03 -0.42 0.05 -0.05 0.44 -0.53 2.74 3.15 -2.31 5.29 10.96 0.35 0.20 0.89 0.29 -0.32 0.32 -0.33 0.34 -0.36 0.38 -0.41
 -0.21 0.16 -0.12 0.07 -0.01 -0.07 0.22 -0.52 1.69 7.44 -2.32 6.75 0.21 0.39 -0.71 3.68 2.63 4.08 1.20 4.14 -0.72 -0.03 0.02 -0.38 0.48 0.63 -0.13 -0.03 -0.01 0.01 0.57 0.24 0.05 -0.47 -0.20 -0.18 0.11 -0.61 -0.06 -0.52 -0.12 -0.35 0.22 0.23 0.26 -0.36 0.07 -0.32 5.61 -1.44 1.65 10.87 6.28 -0.94 3.80 5.92 -1.69 1.04 -0.74 0.57 -0.46 0.38 -0.31 0.26
